gsDivisionId,url,id
1,/Recommendation/img1_1,1
1,/Recommendation/img2_1,2
1,/Recommendation/img3_1,3
2,/Recommendation/img1_2,4
2,/Recommendation/img2_2,5
2,/Recommendation/img3_2,6
3,/Recommendation/img1_3,7
3,/Recommendation/img2_3,8
3,/Recommendation/img3_3,9
4,/Recommendation/img1_4,10
4,/Recommendation/img2_4,11
4,/Recommendation/img3_4,12
5,/Recommendation/img1_5,13
5,/Recommendation/img2_5,14
5,/Recommendation/img3_5,15
6,/Recommendation/img1_6,16
6,/Recommendation/img2_6,17
6,/Recommendation/img3_6,18
7,/Recommendation/img1_7,19
7,/Recommendation/img2_7,20
7,/Recommendation/img3_7,21
8,/Recommendation/img1_8,22
8,/Recommendation/img2_8,23
8,/Recommendation/img3_8,24
9,/Recommendation/img1_9,25
9,/Recommendation/img2_9,26
9,/Recommendation/img3_9,27
10,/Recommendation/img1_10,28
10,/Recommendation/img2_10,29
10,/Recommendation/img3_10,30
11,/Recommendation/img1_11,31
11,/Recommendation/img2_11,32
11,/Recommendation/img3_11,33
12,/Recommendation/img1_12,34
12,/Recommendation/img2_12,35
12,/Recommendation/img3_12,36
13,/Recommendation/img1_13,37
13,/Recommendation/img2_13,38
13,/Recommendation/img3_13,39
14,/Recommendation/img1_14,40
14,/Recommendation/img2_14,41
14,/Recommendation/img3_14,42
15,/Recommendation/img1_15,43
15,/Recommendation/img2_15,44
15,/Recommendation/img3_15,45
16,/Recommendation/img1_16,46
16,/Recommendation/img2_16,47
16,/Recommendation/img3_16,48
17,/Recommendation/img1_17,49
17,/Recommendation/img2_17,50
17,/Recommendation/img3_17,51
18,/Recommendation/img1_18,52
18,/Recommendation/img2_18,53
18,/Recommendation/img3_18,54
19,/Recommendation/img1_19,55
19,/Recommendation/img2_19,56
19,/Recommendation/img3_19,57
20,/Recommendation/img1_20,58
20,/Recommendation/img2_20,59
20,/Recommendation/img3_20,60
21,/Recommendation/img1_21,61
21,/Recommendation/img2_21,62
21,/Recommendation/img3_21,63
22,/Recommendation/img1_22,64
22,/Recommendation/img2_22,65
22,/Recommendation/img3_22,66
23,/Recommendation/img1_23,67
23,/Recommendation/img2_23,68
23,/Recommendation/img3_23,69
